dr_name,speciality,qualification,years_of_experience,location,city,dp_score%,npv,consultation_fee_₹
Dr. Preetha Peethambar,Dentist,"BDS, MDS - Pedodontics",20 years experience overall,"HSR Layout,",Bangalore,100% ,35 Patient Stories,₹600
Dr. Santosh B S,Dentist,MDS - Oral & Maxillofacial Surgery,19 years experience overall,"Singasandra,",Bangalore,99% ,108 Patient Stories,₹200
Dr. Samanvitha Shetty,Dentist,BDS,20 years experience overall,"Rajajinagar,",Bangalore,99% ,76 Patient Stories,₹300
Dr. Shreya Francis,Dentist,BDS,7 years experience overall,"Varthur,",Bangalore,97% ,53 Patient Stories,₹300
Dr. Krishna Shama Rao,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery, MBBS, FDSRCS - Fellowship in Dental Surgery",42 years experience overall,"Harlur,",Bangalore,100% ,2 Patient Stories,₹1000
Dr. Pavan K,Dentist,BDS,27 years experience overall,"Chandra Layout,",Bangalore,97% ,43 Patient Stories,₹300
Dr. Shibani Shetty,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology",19 years experience overall,"Yelahanka New Town,",Bangalore,100% ,186 Patient Stories,₹300
Dr. Pavan T.P,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",13 years experience overall,"Rajarajeshwarinagar,",Bangalore,99% ,175 Patient Stories,₹350
Dr. Navya B Kalaikar,Dentist,BDS,17 years experience overall,"Yelahanka,",Bangalore,97% ,69 Patient Stories,₹300
Dr. Meenakshi Rai Mukherjee,Dentist,BDS,13 years experience overall,"HSR Layout,",Bangalore,50% ,2 Patient Stories,₹500
Dr. Pragya Pathak,Dentist,"BDS, Fellowship in Oral implantlogy, MDS - Periodontics",8 years experience overall,"Indiranagar,",Bangalore,98% ,124 Patient Stories,₹1000
Dr. Hetal Popat,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS, MOrth",11 years experience overall,"Sarjapur Road,",Bangalore,98% ,99 Patient Stories,₹500
Dr. Asmita,Dentist,BDS,24 years experience overall,"Bellandur,",Bangalore,92% ,20 Patient Stories,₹400
Dr. Akanksha Sachdeva,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",11 years experience overall,"Indiranagar,",Bangalore,100% ,23 Patient Stories,₹1000
Dr. Katta R Venkatesh,Dentist,"MDS - Periodontics, BDS",19 years experience overall,"Banashankari 3rd Stage,",Bangalore,97% ,110 Patient Stories,₹300
Dr. Shweta Mutathi,Dentist,BDS,14 years experience overall,"Kadugodi,",Bangalore,97% ,37 Patient Stories,₹400
Dr. Sridhar,Dentist,BDS,22 years experience overall,"Banashankari 3rd Stage,",Bangalore,98% ,50 Patient Stories,₹200
Dr. Aditi Garg,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",14 years experience overall,"HSR Layout,",Bangalore,100% ,4 Patient Stories,₹500
Dr. Samar Mehtab,Dentist,"BDS, Fellowship in Oral implantlogy",10 years experience overall,"Kalyan Nagar,",Bangalore,100% ,158 Patient Stories,₹300
Dr. Ameet Kini,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",21 years experience overall,"Jayanagar 4 Block,",Bangalore,100% ,201 Patient Stories,₹500
Dr. Roshan Kumar,Dentist,BDS,18 years experience overall,"JP Nagar,",Bangalore,97% ,155 Patient Stories,₹400
Dr. Nikesh Reddy C,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",13 years experience overall,"Kundalahalli,",Bangalore,100% ,2 Patient Stories,₹100
Dr. Vijayatha Shetty,Dentist,BDS,11 years experience overall,"Banaswadi,",Bangalore,94% ,13 Patient Stories,₹500
Dr. Kiran D N,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",26 years experience overall,"Whitefield,",Bangalore,99% ,50 Patient Stories,₹500
Dr. Santhosha S Kharvi,Dentist,"BDS, Fellowship in Oral implantlogy",22 years experience overall,"Hennur,",Bangalore,97% ,14 Patient Stories,₹400
Dr. Khushboo Mishra,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",6 years experience overall,"Vasanthnagar,",Bangalore,100% ,25 Patient Stories,₹600
Dr. A Rahim Khan,Dentist,"BDS, MDS - Orthodontics",19 years experience overall,"Indiranagar,",Bangalore,98% ,75 Patient Stories,₹500
Dr. Nita Kashyap,Dentist,BDS,11 years experience overall,"CV Raman Nagar,",Bangalore,99% ,269 Patient Stories,₹400
Dr. Shiva Kumar.P.B,Dentist,BDS,20 years experience overall,"Sahakaranagar,",Bangalore,99% ,77 Patient Stories,₹400
Dr. Roshan Varghese,Dentist,"BDS, MDS - Oral Medicine and Radiology",14 years experience overall,"Horamavu,",Bangalore,100% ,54 Patient Stories,₹300
Dr. Rupali Wankhede Panpate,Dentist,BDS,17 years experience overall,"Kasturi nagar,",Bangalore,98% ,67 Patient Stories,₹400
Dr. Victory Ahanthem,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",14 years experience overall,"Panathur,",Bangalore,100% ,66 Patient Stories,₹300
Dr. Prashanth,Dentist,BDS,24 years experience overall,"Indiranagar,",Bangalore,99% ,90 Patient Stories,₹300
Dr. Prajakta Kale,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",11 years experience overall,"HSR Layout,",Bangalore,100% ,38 Patient Stories,₹350
Dr. Shagun Agarwal,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS",6 years experience overall,"Indiranagar,",Bangalore,100% ,3 Patient Stories,₹500
Dr. Anjana Viswanath,Dentist,BDS,27 years experience overall,"Ulsoor,",Bangalore,100% ,17 Patient Stories,₹600
Dr. Trilochani Prabhakar,Dentist,BDS,43 years experience overall,"Bannerghatta Road,",Bangalore,100% ,1 Patient Story,₹200
Dr. Seema Satish,Dentist,"BDS, PGD - Oral & Maxillofacial Surgery and Oral Implantology",16 years experience overall,"Koramangala 1 Block,",Bangalore,100% ,17 Patient Stories,₹300
Dr. Roli Singh,Dentist,BDS,12 years experience overall,"Akshaya nagar,",Bangalore,100% ,72 Patient Stories,₹350
Dr. Sumalatha,Dentist,BDS,14 years experience overall,"RT Nagar,",Bangalore,99% ,81 Patient Stories,₹300
Dr. Beena Gopi,Dentist,BDS,20 years experience overall,"Richmond Town,",Bangalore,100% ,95 Patient Stories,₹300
Dr. Mahendra K P,Dentist,BDS,22 years experience overall,"Banashankari 1st Stage,",Bangalore,98% ,7 Patient Stories,₹300
Dr. Mohan K B,Dentist,"BDS, MDS - Orthodontics",20 years experience overall,"RMV 2nd Stage,",Bangalore,97% ,21 Patient Stories,₹300
Dr. Chandni Gupta Menon,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",5 years experience overall,"Marathahalli,",Bangalore,100% ,18 Patient Stories,₹200
Dr. Nisar Ahmed,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",9 years experience overall,"Marathahalli,",Bangalore,100% ,29 Patient Stories,₹200
Dr. Amith Kukke,Dentist,BDS,20 years experience overall,"JP Nagar 2 Phase,",Bangalore,95% ,142 Patient Stories,₹500
Dr. Monica Rao,Dentist,BDS,12 years experience overall,"Jayanagar,",Bangalore,98% ,65 Patient Stories,₹200
Dr. Chethan R,Dentist,"BDS, MDS - Oral Medicine and Radiology",13 years experience overall,"Malleswaram,",Bangalore,94% ,231 Patient Stories,₹200
Dr. Pooja Shetty,Dentist,BDS,3 years experience overall,"Whitefield,",Bangalore,100% ,30 Patient Stories,₹300
Dr. Prabala K V,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",11 years experience overall,"Yelahanka New Town,",Bangalore,99% ,82 Patient Stories,₹350
Dr. Sheetal Shetty,Dentist,BDS,26 years experience overall,"Ulsoor,",Bangalore,98% ,20 Patient Stories,₹500
Dr. Deepthi B,Dentist,BDS,12 years experience overall,"Whitefield,",Bangalore,95% ,5 Patient Stories,₹500
Dr. Deepika Bartunia,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",12 years experience overall,"Whitefield,",Bangalore,100% ,20 Patient Stories,₹300
Dr. Suhanya Prasanna Kumar,Dentist,"BDS, MDS - Oral Medicine and Radiology",18 years experience overall,"Electronics City,",Bangalore,100% ,23 Patient Stories,₹300
Dr. Syed Saqhib Suhail,Dentist,"BDS, Certificate of Oral Implantology",12 years experience overall,"Hegde Nagar,",Bangalore,97% ,42 Patient Stories,₹350
Dr. Swati Vishwakarma,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",12 years experience overall,"Kothanur,",Bangalore,97% ,14 Patient Stories,₹300
Dr. Lakshmi Mohandas,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",15 years experience overall,"Kudlu,",Bangalore,88% ,27 Patient Stories,₹400
Dr. Sushant,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",11 years experience overall,"Marathahalli,",Bangalore,97% ,32 Patient Stories,₹300
Dr. Prithvi Raj K,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",10 years experience overall,"Sarjapur Road,",Bangalore,96% ,65 Patient Stories,₹300
Dr. Prabhavathi H.B,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",20 years experience overall,"Bannerghatta Road,",Bangalore,92% ,3 Patient Stories,₹800
Dr. Rohith B,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",14 years experience overall,"Marathahalli,",Bangalore,100% ,22 Patient Stories,₹350
Dr. Anju Jeevan,Dentist,"BDS, MDS - Periodontology and Oral Implantology",14 years experience overall,"Koramangala,",Bangalore,100% ,4 Patient Stories,₹900
Dr. Priya Manghani,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",14 years experience overall,"AECS Layout,",Bangalore,92% ,13 Patient Stories,₹400
Dr. P V Moxit,Dentist,BDS,16 years experience overall,"Banashankari 3rd Stage,",Bangalore,97% ,102 Patient Stories,₹300
Dr. Arunima Chandra,Dentist,"BDS, Master of Clinical Dentistry - Restorative Dentistry",7 years experience overall,"Whitefield,",Bangalore,100% ,112 Patient Stories,₹250
Dr. Ramya,Dentist,BDS,19 years experience overall,"Kundalahalli,",Bangalore,100% ,23 Patient Stories,₹400
Dr. Sapna S,Dentist,BDS,17 years experience overall,"Kaggadasapura,",Bangalore,97% ,34 Patient Stories,₹500
Dr. Vartika Kumari,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",7 years experience overall,"HSR Layout,",Bangalore,,,₹500
Dr. Marilyn Thomas,Dentist,"BDS, MDS - Periodontics",14 years experience overall,"Malleshpalya,",Bangalore,100% ,17 Patient Stories,₹350
Dr. Arti Misra Sharma,Dentist,BDS,12 years experience overall,"JP Nagar 5 Phase,",Bangalore,98% ,88 Patient Stories,₹300
Dr. Sridevi Shetty,Dentist,"MDS - Periodontics, BDS",15 years experience overall,Bangalore,Bangalore,98% ,19 Patient Stories,₹300
Dr. Sai Anusha Reddy,Dentist,BDS,9 years experience overall,"BTM Layout 2nd Stage,",Bangalore,99% ,54 Patient Stories,₹300
Dr. Seema Satish,Dentist,"BDS, PGD - Oral & Maxillofacial Surgery and Oral Implantology",16 years experience overall,"Koramangala 1 Block,",Bangalore,100% ,17 Patient Stories,₹300
Dr. Swamy M.E.S,Dentist,BDS,22 years experience overall,Bangalore,Bangalore,99% ,117 Patient Stories,₹500
Dr. Akhil Nair,Dentist,BDS,4 years experience overall,"HSR Layout,",Bangalore,100% ,360 Patient Stories,Free Consultation
Dr. C Reddy Raghavendra,Dentist,BDS,10 years experience overall,"Munnekollal,",Bangalore,100% ,62 Patient Stories,₹200
Dr. Roshan Kumar,Dentist,BDS,18 years experience overall,"JP Nagar,",Bangalore,97% ,155 Patient Stories,₹400
Dr. Chaitanya S. H,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",20 years experience overall,"Jeevanbhimanagar,",Bangalore,98% ,49 Patient Stories,₹500
Dr. Premila Naidu,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",17 years experience overall,Bangalore,Bangalore,99% ,394 Patient Stories,₹500
Dr. Devaraju Devaiah,Dentist,"BDS, MDS - Oral Medicine and Radiology",17 years experience overall,"Yelahanka,",Bangalore,99% ,213 Patient Stories,₹350
Dr. Suthar Tausif,Dentist,BDS,10 years experience overall,"JP Nagar,",Bangalore,99% ,32 Patient Stories,₹350
Dr. Amrita,Dentist,BDS,16 years experience overall,"Kasturi nagar,",Bangalore,96% ,145 Patient Stories,₹500
Dr. Gayathri Shashank,Dentist,BDS,14 years experience overall,"Banashankari 1st Stage,",Bangalore,92% ,18 Patient Stories,₹500
Dr. Mohammed Zuhaib,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",13 years experience overall,"Malleswaram,",Bangalore,100% ,6 Patient Stories,₹500
Dr. Vasuda Rajanna,Dentist,"BDS, MDS - Public Health Dentistry",16 years experience overall,"JP Nagar,",Bangalore,99% ,77 Patient Stories,₹350
Dr. Shankar S,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",9 years experience overall,"Sanjay Nagar,",Bangalore,95% ,18 Patient Stories,₹300
Dr. Sai Anusha Reddy,Dentist,BDS,9 years experience overall,"BTM Layout 2nd Stage,",Bangalore,99% ,54 Patient Stories,₹300
Dr. Kiran D V,Dentist,BDS,19 years experience overall,"Bannerghatta Road,",Bangalore,100% ,5 Patient Stories,₹200
Dr. Ashwini Narayana Swamy,Dentist,"BDS, MDS - Periodontics",14 years experience overall,"Kalyan Nagar,",Bangalore,100% ,37 Patient Stories,₹400
Dr. Malathi,Dentist,BDS,21 years experience overall,"Indiranagar,",Bangalore,84% ,16 Patient Stories,₹500
Dr. Shruthi Mohan,Dentist,BDS,14 years experience overall,"RMV 2nd Stage,",Bangalore,100% ,1 Patient Story,₹250
Dr. Balajee Krishna,Dentist,"BDS, MDS - Orthodontics",33 years experience overall,"Malleswaram,",Bangalore,,,₹500
Dr. Sudha Koumudi,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",10 years experience overall,"BTM Layout 2nd Stage,",Bangalore,100% ,11 Patient Stories,₹300
Dr. Sreedhar Reddy Pothula,Dentist,MDS - Oral & Maxillofacial Surgery,16 years experience overall,"BTM Layout 2nd Stage,",Bangalore,100% ,11 Patient Stories,Free Consultation
Dr. Karthika Krishna Kumar,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",9 years experience overall,"Sahakaranagar,",Bangalore,100% ,1 Patient Story,₹300
Dr. Navya,Dentist,BDS,11 years experience overall,"Jayanagar 7 Block,",Bangalore,99% ,70 Patient Stories,₹500
Dr. Gouthami Datta,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",8 years experience overall,"Kanakpura Road,",Bangalore,100% ,3 Patient Stories,₹300
Dr. Puneetha Prakash,Dentist,BDS,16 years experience overall,"Vidyaranyapura,",Bangalore,100% ,23 Patient Stories,₹200
Dr. C Reddy Raghavendra,Dentist,BDS,10 years experience overall,"Munnekollal,",Bangalore,100% ,62 Patient Stories,₹200
Dr. Arpita Dutta,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",10 years experience overall,"Electronics City,",Bangalore,100% ,11 Patient Stories,₹200
Dr. Mridula Radhakrishnan,Dentist,BDS,15 years experience overall,"Indiranagar,",Bangalore,100% ,10 Patient Stories,₹500
Dr. Megha Gupta,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",6 years experience overall,"Whitefield,",Bangalore,100% ,16 Patient Stories,₹600
Dr. Rasitha,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",11 years experience overall,"Rajarajeshwarinagar,",Bangalore,100% ,10 Patient Stories,₹300
Dr. Geetha,Dentist,"BDS, MDS - Prosthodontics",35 years experience overall,"Cunningham Road,",Bangalore,100% ,1 Patient Story,₹700
Dr. Aditi Chandra,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",13 years experience overall,"Whitefield,",Bangalore,100% ,184 Patient Stories,₹600
Dr. Shabnam M Khan,Dentist,BDS,10 years experience overall,"Jayanagar,",Bangalore,50% ,,₹250
Dr. Prasad MS,Dentist,BDS,15 years experience overall,"Hebbal,",Bangalore,,,₹800
Dr. Vidya K.,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",15 years experience overall,"HRBR Layout,",Bangalore,100% ,10 Patient Stories,₹400
Dr. Divya V,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",10 years experience overall,"Bommasandra,",Bangalore,100% ,3 Patient Stories,₹300
Dr. Reema Naik Shetty,Dentist,BDS,19 years experience overall,"Jeevanbhimanagar,",Bangalore,93% ,10 Patient Stories,₹500
Dr. Avinash,Dentist,"MDS - Periodontics, BDS",19 years experience overall,"Sahakaranagar,",Bangalore,95% ,6 Patient Stories,₹300
Dr. Vishnu Vardhan,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",9 years experience overall,"Jayanagar,",Bangalore,100% ,4 Patient Stories,₹300
Dr. Nandakishore,Dentist,"BDS, MDS - Orthodontics",22 years experience overall,"Koramangala 4 Block,",Bangalore,100% ,,₹500
Dr. Partha Pratim Roy,Dentist,"BDS, MDS - Periodontology and Oral Implantology",10 years experience overall,"Kothanur,",Bangalore,94% ,6 Patient Stories,₹300
Dr. Eshani Kaul,Dentist,BDS,10 years experience overall,"Banashankari 3rd Stage,",Bangalore,97% ,15 Patient Stories,₹250
Dr. Ann Thomas,Dentist,BDS,16 years experience overall,"Ramamurthy Nagar,",Bangalore,100% ,7 Patient Stories,₹100
Dr. Sridevi,Dentist,BDS,18 years experience overall,"Vidyaranyapura,",Bangalore,100% ,58 Patient Stories,₹300
Dr. Farooq Ahmed,Dentist,BDS,24 years experience overall,"Frazer Town,",Bangalore,100% ,92 Patient Stories,₹300
Dr. Parixeet Patel,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS",11 years experience overall,"Sarjapur Road,",Bangalore,96% ,51 Patient Stories,₹200
Dr. Priya Subash,Dentist,"BDS, MDS - Periodontics",22 years experience overall,"Sarjapur Road,",Bangalore,100% ,5 Patient Stories,₹300
Dr. Gurudev. S,Dentist,BDS,20 years experience overall,Bangalore,Bangalore,98% ,183 Patient Stories,₹500
Dr. Sandhya P,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",1 year experience,"Rajajinagar,",Bangalore,100% ,33 Patient Stories,Free Consultation
Dr. Ratan Salecha,Dentist,"BDS, Post Graduate Diploma In Aesthetic & Restorative Dentistry",20 years experience overall,Bangalore,Bangalore,94% ,18 Patient Stories,₹300
Dr. Aditi Chandra,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",13 years experience overall,"Whitefield,",Bangalore,100% ,184 Patient Stories,₹600
Dr. Srinivas Panchajanya,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",19 years experience overall,"JP Nagar 1 Phase,",Bangalore,99% ,139 Patient Stories,₹400
Dr. Pavan Tambakad,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",25 years experience overall,"Koramangala,",Bangalore,93% ,57 Patient Stories,₹400
Dr. Sirse Namrata,Dentist,BDS,10 years experience overall,"Sarjapur Road,",Bangalore,99% ,129 Patient Stories,₹550
Dr. Amarnath BC,Dentist,"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",31 years experience overall,"Whitefield,",Bangalore,98% ,21 Patient Stories,₹200
Dr. Shaktidar,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",13 years experience overall,"Jayanagar,",Bangalore,99% ,31 Patient Stories,₹250
Dr. Shreya Francis,Dentist,BDS,7 years experience overall,"Varthur,",Bangalore,97% ,53 Patient Stories,₹300
Dr. Aruna,Dentist,BDS,12 years experience overall,"Malleswaram,",Bangalore,100% ,3 Patient Stories,₹100
Dr. Jini P M,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",19 years experience overall,"Whitefield,",Bangalore,100% ,1 Patient Story,₹300
Dr. Shilpa Chittuluru,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",14 years experience overall,"Kanakpura Road,",Bangalore,100% ,10 Patient Stories,₹500
Dr. K Bala Vikhram,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",18 years experience overall,"HSR Layout,",Bangalore,100% ,12 Patient Stories,₹550
